Inning,Outs,Balls,Strikes,Count,Date,Batter_Team,Pitcher_Team,Time To Plate (sec) with Man on First,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y
5,1,1,1,'1-1,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Yosvani Penalver,Yadian Martinez,L,R,Offspeed,Ball,,,0,0.81045082,0.262509413
5,1,2,1,'2-1,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Yosvani Penalver,Yadian Martinez,L,R,Offspeed,Foul,,,0,0.092681499,0.327069455
5,1,2,2,'2-2,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Yosvani Penalver,Yadian Martinez,L,R,Fastball,Ball,,,0,0.070930913,-0.012946765
5,1,3,2,'3-2,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Yosvani Penalver,Yadian Martinez,L,R,Fastball,Walk,,,0,0.788700234,0.197949372
5,1,0,0,'0-0,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Petey Kiefer,Yadian Martinez,L,R,,Additional Out,,,100,,
5,2,0,0,'0-0,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Petey Kiefer,Yadian Martinez,L,R,Offspeed,Called Strike,,,0,-0.070447892,0.464797544
5,2,0,1,'0-1,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Petey Kiefer,Yadian Martinez,L,R,Offspeed,Swinging Strike,,,0,0.484192038,0.482013555
5,2,0,2,'0-2,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Petey Kiefer,Yadian Martinez,L,R,Offspeed,Groundout,Ground Ball,Straightaway,0,0.147057963,0.533661588
5,0,0,0,'0-0,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,,Yasiel Puig,Samuel Quintana,R,L,Offspeed,Called Strike,,,0,0.005679157,0.516445577
5,0,0,1,'0-1,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,,Yasiel Puig,Samuel Quintana,R,L,Fastball,Ball,,,0,-1.081850117,0.499229566
5,0,1,1,'1-1,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,,Yasiel Puig,Samuel Quintana,R,L,Fastball,Ball,,,0,-1.060099532,0.391629497
5,0,2,1,'2-1,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,,Yasiel Puig,Samuel Quintana,R,L,Fastball,Home Run,Fly Ball,Pull,0,0.005679157,0.581005619
5,0,0,0,'0-0,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,,Dennis Dei Baning,Samuel Quintana,R,L,Offspeed,Ball,,,0,-1.081850117,0.611133638
5,0,1,0,'1-0,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,,Dennis Dei Baning,Samuel Quintana,R,L,Fastball,Swinging Strike,,,0,0.223185012,0.469101547
5,0,1,1,'1-1,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,,Dennis Dei Baning,Samuel Quintana,R,L,Fastball,Ball,,,0,-0.559836066,0.624045647
5,0,2,1,'2-1,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,,Dennis Dei Baning,Samuel Quintana,R,L,Offspeed,Ball,,,0,0.451566159,0.043005271
5,0,3,1,'3-1,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,,Dennis Dei Baning,Samuel Quintana,R,L,Offspeed,Walk,,,0,0.397189696,0.116173319
5,0,0,0,'0-0,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,1.38,Kyle Poapst,Samuel Quintana,L,L,Offspeed,Ball,,,100,0.049180328,0.774685744
5,0,1,0,'1-0,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,1.39,Kyle Poapst,Samuel Quintana,L,L,Fastball,Single,Ground Ball,Straightaway,100,-0.005196136,0.391629497
5,0,0,0,'0-0,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,,Yordan Manduley,Samuel Quintana,R,L,Fastball,Called Strike,,,101,-0.266203162,0.516445577
5,0,0,1,'0-1,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,,Yordan Manduley,Samuel Quintana,R,L,Fastball,Foul,,,101,0.168808548,0.413149511
5,0,0,2,'0-2,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,,Yordan Manduley,Samuel Quintana,R,L,Offspeed,Strikeout Swinging,,,101,-0.603337237,0.413149511
5,1,0,0,'0-0,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,,Mike Cecchetto,Samuel Quintana,R,L,Offspeed,Ball,,,101,-0.842593677,0.877981811
5,1,1,0,'1-0,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,,Mike Cecchetto,Samuel Quintana,R,L,Fastball,Ball,,,101,-0.026946721,0.154909344
5,1,2,0,'2-0,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,,Mike Cecchetto,Samuel Quintana,R,L,Offspeed,Called Strike,,,101,-0.646838408,0.516445577
5,1,2,1,'2-1,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,,Mike Cecchetto,Samuel Quintana,R,L,Fastball,Swinging Strike,,,101,-0.016071429,0.90810983
5,1,2,2,'2-2,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,,Mike Cecchetto,Samuel Quintana,R,L,Offspeed,Ball,,,101,-0.124824356,0.124781324
5,1,3,2,'3-2,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,,Mike Cecchetto,Samuel Quintana,R,L,,Additional Out,,,101,,
5,2,0,0,'0-0,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,,MIke Cecchetto,Samuel Quintana,R,L,Fastball,Groundout,Ground Ball,Straightaway,0,-0.603337237,0.701517697
6,0,0,0,'0-0,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Mateo Zeppieri,Wilgenis Alvarado,L,L,Offspeed,Called Strike,,,0,-0.53808548,0.352893472
6,0,0,1,'0-1,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Mateo Zeppieri,Wilgenis Alvarado,L,L,Offspeed,Called Strike,,,0,0.201434426,0.602525633
6,0,0,2,'0-2,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Mateo Zeppieri,Wilgenis Alvarado,L,L,Fastball,Strikeout Swinging,,,0,-0.092198478,0.52074958
6,1,0,0,'0-0,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Rafael Gross,Wilgenis Alvarado,R,L,Fastball,Foul,,,0,-0.016071429,0.464797544
6,1,0,1,'0-1,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Rafael Gross,Wilgenis Alvarado,R,L,Fastball,Ball,,,0,-0.77734192,0.266813416
6,1,1,1,'1-1,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Rafael Gross,Wilgenis Alvarado,R,L,Fastball,Ball,,,0,-0.451083138,0.890893819
6,1,2,1,'2-1,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Rafael Gross,Wilgenis Alvarado,R,L,Offspeed,Ball,,,0,-0.701214871,0.391629497
6,1,3,1,'3-1,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Rafael Gross,Wilgenis Alvarado,R,L,Fastball,Swinging Strike,,,0,-0.026946721,0.404541505
6,1,3,2,'3-2,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Rafael Gross,Wilgenis Alvarado,R,L,Offspeed,Walk,,,0,-0.864344262,0.189341366
6,1,0,0,'0-0,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,1.41,Yunior Ibarra,Wilgenis Alvarado,R,L,Offspeed,Ball,,,100,-1.625614754,0.744557725
6,1,1,0,'1-0,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Yunior Ibarra,Wilgenis Alvarado,R,L,Fastball,Called Strike,,,10,-1.038348946,0.679997683
6,1,1,1,'1-1,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Yunior Ibarra,Wilgenis Alvarado,R,L,Fastball,Ball,,,10,-1.027473653,0.791901755
6,1,2,1,'2-1,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Yunior Ibarra,Wilgenis Alvarado,R,L,Offspeed,Swinging Strike,,,10,-0.0595726,0.512141575
6,1,2,2,'2-2,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Yunior Ibarra,Wilgenis Alvarado,R,L,Fastball,Groundout,Ground Ball,Pull,10,0.516817916,0.641261658
6,2,0,0,'0-0,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Yosuke Fujie,Wilgenis Alvarado,R,L,Fastball,Called Strike,,,1,-0.603337237,0.434669524
6,2,0,1,'0-1,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Yosuke Fujie,Wilgenis Alvarado,R,L,Fastball,Foul,,,1,0.538568501,0.744557725
6,2,0,2,'0-2,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Yosuke Fujie,Wilgenis Alvarado,R,L,Offspeed,Ball,,,1,N/A,
6,2,1,2,'1-2,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Yosuke Fujie,Wilgenis Alvarado,R,L,Offspeed,Ball,,,1,-0.831718384,0.361501477
6,2,2,2,'2-2,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Yosuke Fujie,Wilgenis Alvarado,R,L,Offspeed,Strikeout Swinging,,,1,0.005679157,0.447581533
6,0,0,0,'0-0,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,,Spenser Ross,Evan Elliott,R,R,Fastball,Ball,,,0,-0.026946721,0.723037711
6,0,1,0,'1-0,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,,Spenser Ross,Evan Elliott,R,R,Fastball,Groundout,Ground Ball,Pull,0,0.01655445,0.460493541
6,1,0,0,'0-0,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,,Matt Brandt,Evan Elliott,L,R,Fastball,Called Strike,,,0,0.179683841,0.469101547
6,1,0,1,'0-1,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,,Matt Brandt,Evan Elliott,L,R,Offspeed,Ball,,,0,0.103556792,0.146301338
