Player,Season,Team,P,Height,Weight,AVG,G,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SF,SH,SB,CS,DP,E,OPS,SLG,OBP,PA,AB/HR,BB/PA,BB/K,SECA,ISOP,RC
"Summerville, J",2025,Hamilton Cardinals,PH,,,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Johnston, A",2025,Hamilton Cardinals,C,6.01,220,0,3,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.25,0,0.25,4,0,0,0,0,0,0
"DeCastro, R",2025,Hamilton Cardinals,IF,,,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,3,0,0,0,0,0,0
"Warkentin, L",2025,Hamilton Cardinals,P,6.01,210,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0,0,0,0,0,0
"DesRochers, T",2025,Barrie Baycats,IF,,,0.6,1,5,1,3,0,0,1,2,0,0,0,0,0,2,0,0,0,1.8,1.2,0.6,5,5,0,0,1,0.6,3.6
"Spencer-Thompson, A",2025,Barrie Baycats,OF,5.11,185,0.5,8,8,2,4,0,2,1,2,0,0,1,0,0,1,0,0,0,1.875,1.375,0.5,8,8,0,0,1,0.875,5.5
"Rijo, R",2025,Barrie Baycats,IF,6.03,275,0.448,8,29,7,13,2,0,4,10,4,1,5,0,0,0,0,2,,1.46,0.931,0.529,34,7.25,0.118,0.8,0.621,0.483,13.909
"McGarry Doyle, N",2025,Barrie Baycats,OF,6.01,220,0.373,32,134,31,50,12,0,5,23,12,5,22,2,1,5,3,0,0,1.013,0.575,0.438,154,26.8,0.078,0.545,0.306,0.201,32.699
"Wickett, A",2025,Barrie Baycats,2B,0,,0.333,18,51,7,17,3,0,0,6,6,2,8,0,1,2,0,1,0,0.816,0.392,0.424,60,0,0.1,0.75,0.216,0.059,8.07
"Clarke, T",2025,Barrie Baycats,OF,6.04,215,0.323,41,158,26,51,7,1,9,32,11,3,35,4,0,1,0,4,1,0.92,0.551,0.369,176,17.556,0.063,0.314,0.304,0.228,31.917
"Machibroda, N",2025,Barrie Baycats,IF,6.04,225,0.323,41,155,29,50,15,0,4,37,23,3,42,1,0,0,1,1,6,0.915,0.497,0.418,182,38.75,0.126,0.548,0.316,0.174,31.579
"Plumpton, T",2025,Barrie Baycats,C,6.01,210,0.298,24,84,10,25,0,0,0,8,1,4,5,1,3,0,1,10,0,0.631,0.298,0.333,93,0,0.011,0.2,0,0,7.647
"Garcia, W",2025,Barrie Baycats,OF,6.01,250,0.292,32,120,19,35,9,0,4,18,13,1,35,2,0,2,0,1,0,0.827,0.467,0.36,136,30,0.096,0.371,0.3,0.175,20.211
"Hernandez, F",2025,Barrie Baycats,IF,,,0.288,29,104,23,30,8,0,4,16,13,3,34,0,0,3,0,2,3,0.864,0.481,0.383,120,26,0.108,0.382,0.346,0.192,18.376
"Hernandez, B",2025,Barrie Baycats,SS,,,0.268,39,164,29,44,7,1,2,21,12,3,28,0,0,4,3,2,14,0.69,0.36,0.33,179,82,0.067,0.429,0.171,0.091,18.773
"Odd, A",2025,Barrie Baycats,IF,6,185,0.262,15,61,11,16,0,2,1,8,4,0,14,1,0,2,2,3,4,0.68,0.377,0.303,66,61,0.061,0.286,0.18,0.115,7.077
"Hull, N",2025,Barrie Baycats,1B,6.03,225,0.254,34,114,20,29,4,0,5,17,10,3,32,2,2,0,0,0,5,0.747,0.421,0.326,131,22.8,0.076,0.313,0.254,0.167,15.097
"Keyes, C",2025,Barrie Baycats,OF,6,215,0.25,25,80,14,20,5,0,1,8,14,0,33,0,0,2,1,1,1,0.712,0.35,0.362,94,80,0.149,0.424,0.288,0.1,10.128
"Jaco, H",2025,Barrie Baycats,C,6,200,0.25,7,28,2,7,2,0,0,0,0,1,6,0,0,0,0,0,3,0.597,0.321,0.276,29,0,0,0,0.071,0.071,2.25
"Williams, M",2025,Barrie Baycats,IF,6.04,230,0.243,10,37,8,9,2,0,1,7,4,1,6,0,0,1,0,3,1,0.711,0.378,0.333,42,37,0.095,0.667,0.27,0.135,4.439
"Boylan, A",2025,Barrie Baycats,2B,,,0.214,16,28,3,6,1,0,1,3,2,3,12,1,0,0,0,1,4,0.681,0.357,0.324,34,28,0.059,0.167,0.214,0.143,2.667
"Johnston, A",2025,Barrie Baycats,PH,,,0.176,14,34,6,6,1,0,0,4,5,2,12,0,0,0,0,0,4,0.523,0.206,0.317,41,0,0.122,0.417,0.176,0.029,1.974
"Jones, A",2025,Barrie Baycats,PH,,,0.167,17,24,6,4,0,0,1,1,3,0,13,0,0,1,0,0,1,0.551,0.292,0.259,27,24,0.111,0.231,0.292,0.125,1.815
"Magnaye, J",2025,Barrie Baycats,C,,,0.143,4,7,1,1,0,0,0,1,1,0,4,0,0,0,0,0,0,0.393,0.143,0.25,8,0,0.125,0.25,0.143,0,0.25
"Anderson, J",2025,Barrie Baycats,UT,,215,0.143,11,21,2,3,1,0,0,1,3,0,11,0,0,0,0,0,0,0.44,0.19,0.25,24,0,0.125,0.273,0.19,0.048,1
"Groves, J",2025,Barrie Baycats,OF,5.1,210,0.143,4,7,1,1,0,0,0,0,2,0,4,0,0,0,0,0,1,0.476,0.143,0.333,9,0,0.222,0.5,0.286,0,0.333
