Inning,Outs,Balls,Strikes,Count,Date,Batter_Team,Pitcher_Team,Time To Plate (sec) with Man on First,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y
2,1,0,0,'0-0,2025-09-21,Brock Badgers,Waterloo Warriors,1.15,Liam Riley,Aidan Armitage,R,R,Fastball,Ball,,,100,0.543737673,1.096120094
2,1,1,0,'1-0,2025-09-21,Brock Badgers,Waterloo Warriors,1.14,Liam Riley,Aidan Armitage,R,R,Fastball,Ball,,,100,1.356761662,0.169138679
2,1,2,0,'2-0,2025-09-21,Brock Badgers,Waterloo Warriors,1.12,Liam Riley,Aidan Armitage,R,R,Fastball,Ball,,,100,-1.372676017,0.866289991
2,1,3,0,'3-0,2025-09-21,Brock Badgers,Waterloo Warriors,,Liam Riley,Aidan Armitage,R,R,Breaking Ball,Called Strike,,,100,0.427591388,0.383646775
2,1,3,1,'3-1,2025-09-21,Brock Badgers,Waterloo Warriors,,Liam Riley,Aidan Armitage,R,R,Fastball,Foul,,,100,-0.385432601,0.621137881
2,1,3,2,'3-2,2025-09-21,Brock Badgers,Waterloo Warriors,,Liam Riley,Aidan Armitage,R,R,Fastball,Groundout,Ground Ball,Pull,100,0.29208739,0.276392727
2,2,0,0,'0-0,2025-09-21,Brock Badgers,Waterloo Warriors,,Adam Geddes,Aidan Armitage,L,R,Fastball,Flyout,Fly Ball,Straightaway,100,-0.443505743,0.483239819
2,0,0,0,'0-0,2025-09-21,Waterloo Warriors,Brock Badgers,,Luca Valvo,Ryan Facchini,R,R,Cutter,Called Strike,,,0,-0.637082884,0.736052933
2,0,0,1,'0-1,2025-09-21,Waterloo Warriors,Brock Badgers,,Luca Valvo,Ryan Facchini,R,R,Cutter,Ball,,,0,1.124469094,0.713069922
2,0,1,1,'1-1,2025-09-21,Waterloo Warriors,Brock Badgers,,Luca Valvo,Ryan Facchini,R,R,Cutter,Foul,,,0,-0.095066891,0.314697744
2,0,1,2,'1-2,2025-09-21,Waterloo Warriors,Brock Badgers,,Luca Valvo,Ryan Facchini,R,R,Fastball,Foul,,,0,-0.288644031,0.567510857
2,0,1,2,'1-2,2025-09-21,Waterloo Warriors,Brock Badgers,,Luca Valvo,Ryan Facchini,R,R,Slider,Ball,,,0,0.19529882,-0.359470558
2,0,2,2,'2-2,2025-09-21,Waterloo Warriors,Brock Badgers,,Luca Valvo,Ryan Facchini,R,R,Cutter,Ball,,,0,-0.133782319,-0.298182531
2,0,3,2,'3-2,2025-09-21,Waterloo Warriors,Brock Badgers,,Luca Valvo,Ryan Facchini,R,R,Cutter,Double,Pop Up,Straightaway,0,-0.211213175,0.475578816
2,0,0,0,'0-0,2025-09-21,Waterloo Warriors,Brock Badgers,,Jun Yuki,Ryan Facchini,R,R,Cutter,Sacrifice Bunt,Ground Ball,Straightaway,10,-0.308001745,0.690086912
2,1,0,0,'0-0,2025-09-21,Waterloo Warriors,Brock Badgers,,Adam Rusch,Ryan Facchini,R,R,Cutter,Single,Ground Ball,Straightaway,1,-0.211213175,0.398968782
2,1,0,0,'0-0,2025-09-21,Waterloo Warriors,Brock Badgers,,Sam Grant,Ryan Facchini,R,R,Fastball,Ball,,,100,1.182542236,-0.190928483
2,1,1,0,'1-0,2025-09-21,Waterloo Warriors,Brock Badgers,1.19,Sam Grant,Ryan Facchini,R,R,Cutter,Ball,,,100,-1.256529733,0.75137494
2,1,2,0,'2-0,2025-09-21,Waterloo Warriors,Brock Badgers,,Sam Grant,Ryan Facchini,R,R,Fastball,Flyout,Fly Ball,Opposite Field,100,-0.443505743,0.582832864
2,2,0,0,'0-0,2025-09-21,Waterloo Warriors,Brock Badgers,,Adam Leatherland,Ryan Facchini,L,R,Fastball,Single,Line Drive,Opposite Field,100,-0.366074887,0.536866843
2,2,0,0,'0-0,2025-09-21,Waterloo Warriors,Brock Badgers,,Carter Kipp,Ryan Facchini,R,R,Cutter,Called Strike,,,110,0.601810815,0.28405373
2,2,0,1,'0-1,2025-09-21,Waterloo Warriors,Brock Badgers,,Carter Kipp,Ryan Facchini,R,R,Fastball,Foul,,,110,-0.424148029,0.215104699
2,2,0,2,'0-2,2025-09-21,Waterloo Warriors,Brock Badgers,,Carter Kipp,Ryan Facchini,R,R,Fastball,Single,Ground Ball,Pull,110,-0.385432601,0.345341758
2,2,0,0,'0-0,2025-09-21,Waterloo Warriors,Brock Badgers,,,,R,R,,Additional Out,,,0,,
3,0,0,0,'0-0,2025-09-21,Brock Badgers,Waterloo Warriors,,Brayden Sowrey,Aidan Armitage,R,R,Fastball,Called Strike,,,0,0.369518246,0.559849854
3,0,0,1,'0-1,2025-09-21,Brock Badgers,Waterloo Warriors,,Brayden Sowrey,Aidan Armitage,R,R,Fastball,Groundout,Ground Ball,Opposite Field,0,0.679241671,0.253409716
3,1,0,0,'0-0,2025-09-21,Brock Badgers,Waterloo Warriors,,Reid Lunney,Aidan Armitage,R,R,Fastball,Ball,,,0,-0.308001745,0.115511655
3,1,1,0,'1-0,2025-09-21,Brock Badgers,Waterloo Warriors,,Reid Lunney,Aidan Armitage,R,R,Breaking Ball,Groundout,Ground Ball,Pull,0,-0.288644031,0.330019751
3,2,0,0,'0-0,2025-09-21,Brock Badgers,Waterloo Warriors,,Nolan Phelan,Aidan Armitage,R,R,Fastball,Swinging Strike,,,0,0.466306817,0.820323971
3,2,0,1,'0-1,2025-09-21,Brock Badgers,Waterloo Warriors,,Nolan Phelan,Aidan Armitage,R,R,Breaking Ball,Called Strike,,,0,-0.482221171,0.184460686
3,2,0,2,'0-2,2025-09-21,Brock Badgers,Waterloo Warriors,,Nolan Phelan,Aidan Armitage,R,R,Breaking Ball,Single,Ground Ball,Straightaway,0,1.376119376,0.28405373
3,2,0,0,'0-0,2025-09-21,Brock Badgers,Waterloo Warriors,,Cole Carpenter,Aidan Armitage,R,R,Fastball,Ball,,,100,0.853461097,1.126764108
3,2,1,0,'1-0,2025-09-21,Brock Badgers,Waterloo Warriors,,Cole Carpenter,Aidan Armitage,R,R,Breaking Ball,Called Strike,,,100,1.356761662,0.069545634
3,2,1,1,'1-1,2025-09-21,Brock Badgers,Waterloo Warriors,,Cole Carpenter,Aidan Armitage,R,R,Fastball,Called Strike,,,10,0.853461097,0.598154871
3,2,1,2,'1-2,2025-09-21,Brock Badgers,Waterloo Warriors,,Cole Carpenter,Aidan Armitage,R,R,Breaking Ball,Single,Pop Up,Opposite Field,10,0.737314813,-0.114318449
3,2,0,0,'0-0,,,,,,,,,,Additional Out,,,10,,
3,0,0,0,'0-0,2025-09-21,Waterloo Warriors,Brock Badgers,,Arthur Kowara,Ryan Facchini,R,R,Cutter,Foul,,,0,0.330802818,0.55218885
3,0,0,1,'0-1,2025-09-21,Waterloo Warriors,Brock Badgers,,Arthur Kowara,Ryan Facchini,R,R,Fastball,Called Strike,,,0,0.679241671,0.268731723
3,0,0,2,'0-2,2025-09-21,Waterloo Warriors,Brock Badgers,,Arthur Kowara,Ryan Facchini,R,R,Cutter,Foul,,,0,0.311445104,0.337680754
3,0,0,2,'0-2,2025-09-21,Waterloo Warriors,Brock Badgers,,Arthur Kowara,Ryan Facchini,R,R,Cutter,Foul,,,0,-0.327359459,0.651781895
3,0,0,2,'0-2,2025-09-21,Waterloo Warriors,Brock Badgers,,Arthur Kowara,Ryan Facchini,R,R,Fastball,Ball,,,0,1.20189995,-0.382453569
3,0,1,2,'1-2,2025-09-21,Waterloo Warriors,Brock Badgers,,Arthur Kowara,Ryan Facchini,R,R,Fastball,Flyout,Fly Ball,Opposite Field,0,0.485664531,1.096120094
3,1,0,0,'0-0,2025-09-21,Waterloo Warriors,Brock Badgers,,Sam Shephard,Ryan Facchini,R,R,Fastball,Foul,,,0,-0.191855461,0.192121689
3,1,0,1,'0-1,2025-09-21,Waterloo Warriors,Brock Badgers,,Sam Shephard,Ryan Facchini,R,R,Slider,Called Strike,,,0,-0.675798312,0.667103902
3,1,0,2,'0-2,2025-09-21,Waterloo Warriors,Brock Badgers,,Sam Shephard,Ryan Facchini,R,R,Fastball,Foul,,,0,0.137225678,0.919917015
3,1,0,2,'0-2,2025-09-21,Waterloo Warriors,Brock Badgers,,Sam Shephard,Ryan Facchini,R,R,Fastball,Strikeout Looking,,,0,-0.501578885,0.30703674
3,2,0,0,'0-0,2025-09-21,Waterloo Warriors,Brock Badgers,,Rhys Jenkyn,Ryan Facchini,L,R,Fastball,Ball,,,0,-0.579009741,1.096120094
